Wall time,Step,Value
1761276727.8571734,283500,28.819107055664062
1761276728.7411945,284000,28.56698226928711
1761276729.616832,284500,28.408851623535156
1761276730.4899147,285000,27.78847312927246
1761276731.505686,285500,27.243938446044922
1761276732.4388807,286000,26.827367782592773
1761276733.3020113,286500,26.545976638793945
1761276734.199612,287000,25.99950408935547
1761276735.0635538,287500,25.798931121826172
1761276735.9328172,288000,25.158185958862305
1761276736.8016772,288500,25.13500213623047
1761276737.7827873,289000,25.256906509399414
1761276738.6415765,289500,25.793777465820312
1761276739.5100374,290000,25.54273796081543
1761276740.378016,290500,25.7083683013916
1761276741.2717655,291000,25.606491088867188
1761276742.122714,291500,25.831674575805664
1761276742.9888458,292000,26.072227478027344
1761276743.856701,292500,26.748950958251953
1761276744.7096226,293000,27.054859161376953
1761276745.5628767,293500,27.04213523864746
1761276746.4291341,294000,27.1912899017334
1761276747.305376,294500,27.635631561279297
1761276748.175092,295000,26.94902229309082
1761276749.0451868,295500,26.97633171081543
1761276749.9086988,296000,26.67558479309082
1761276750.7807286,296500,26.403961181640625
1761276751.6819134,297000,26.295658111572266
1761276752.5462046,297500,26.266695022583008
1761276753.4290605,298000,26.270099639892578
1761276754.3176582,298500,26.080074310302734
1761276755.1787262,299000,26.416973114013672
1761276756.0546892,299500,26.36265754699707
1761276756.9144363,300000,26.251161575317383
1761276757.7795331,300500,26.69228172302246
1761276758.6485534,301000,27.168516159057617
1761276759.516271,301500,27.262666702270508
1761276760.393153,302000,26.856178283691406
1761276761.2558055,302500,26.594009399414062
1761276762.1199656,303000,26.636112213134766
1761276762.9914713,303500,26.847867965698242
1761276763.8627203,304000,26.898788452148438
1761276764.732073,304500,26.938358306884766
1761276765.587269,305000,27.10951042175293
1761276766.4922678,305500,27.2828369140625
1761276767.3678782,306000,27.44964027404785
1761276768.2538753,306500,27.61313819885254
1761276769.1332645,307000,27.78067970275879
1761276770.00583,307500,28.079063415527344
1761276770.9383776,308000,28.491411209106445
1761276771.7946491,308500,28.005353927612305
1761276772.6523561,309000,28.277151107788086
1761276773.5234416,309500,28.762178421020508
1761276774.4135673,310000,28.774242401123047
1761276775.292052,310500,28.84813117980957
1761276776.175931,311000,29.1250057220459
1761276777.0419707,311500,29.074342727661133
1761276777.9060261,312000,28.855545043945312
1761276778.7826014,312500,29.419273376464844
1761276779.6609466,313000,29.90470314025879
1761276780.5476813,313500,30.49864387512207
1761276781.4222794,314000,30.272586822509766
1761276782.3534918,314500,30.474966049194336
1761276783.2148077,315000,30.666847229003906
1761276784.0996282,315500,31.203752517700195
1761276784.9855094,316000,31.706832885742188
1761276785.8418248,316500,32.177581787109375
1761276786.7069936,317000,32.71709060668945
1761276787.546252,317500,32.96754837036133
1761276788.43598,318000,33.4782829284668
1761276789.3009455,318500,33.893585205078125
1761276790.1786718,319000,33.965423583984375
1761276791.0724313,319500,33.98974609375
1761276791.9488313,320000,34.387550354003906
1761276792.8037665,320500,34.844482421875
1761276793.6811702,321000,34.907325744628906
1761276794.5303879,321500,35.02719497680664
1761276795.4051743,322000,34.724552154541016
1761276796.2672846,322500,34.28729248046875
1761276797.1343052,323000,33.88816452026367
1761276798.0326731,323500,33.76642608642578
1761276798.889801,324000,33.9555549621582
1761276799.7552505,324500,33.91361618041992
1761276800.6069548,325000,33.960262298583984
1761276801.464486,325500,34.3819465637207
1761276802.3253357,326000,34.84218215942383
1761276803.1907327,326500,35.202735900878906
1761276804.0451221,327000,35.43321990966797
1761276804.9078982,327500,36.086151123046875
1761276805.771001,328000,36.09417724609375
1761276806.6438932,328500,36.547752380371094
1761276807.519905,329000,36.41129684448242
1761276808.3986974,329500,36.6226692199707
1761276809.2736003,330000,36.65400314331055
1761276810.1525335,330500,36.648738861083984
1761276811.0394027,331000,36.78645324707031
1761276811.9440324,331500,36.81293487548828
1761276812.8248036,332000,37.42935562133789
1761276813.676085,332500,37.51667785644531
1761276814.5340216,333000,37.7166862487793
1761276815.3992453,333500,37.63859558105469
1761276816.2756405,334000,37.62257385253906
1761276817.1337206,334500,37.72445297241211
1761276817.9806333,335000,38.02881622314453
1761276818.855742,335500,38.25169372558594
1761276819.734821,336000,38.22906494140625
1761276820.6060874,336500,38.774105072021484
1761276821.4749076,337000,38.85898971557617
1761276822.3341863,337500,38.8027229309082
1761276823.193328,338000,39.13782501220703
1761276824.061809,338500,39.07221221923828
1761276824.9396098,339000,39.19449996948242
1761276825.8231878,339500,39.457332611083984
1761276826.684064,340000,39.510398864746094
1761276827.5414429,340500,39.201080322265625
1761276828.4635868,341000,39.21843719482422
1761276829.325085,341500,39.001487731933594
1761276834.5166605,342000,39.20824432373047
1761276844.2496083,342500,39.69974899291992
1761276854.254516,343000,39.80859375
1761276863.861971,343500,39.6658821105957
1761276867.9796453,344000,39.295166015625
1761276870.4301605,344500,39.34391403198242
1761276873.0869396,345000,39.476539611816406
1761276875.2601523,345500,39.60773468017578
1761276877.2687309,346000,40.078636169433594
1761276878.903795,346500,40.592952728271484
1761276880.532235,347000,40.91107177734375
1761276882.2187448,347500,41.054962158203125
1761276883.683156,348000,41.676780700683594
1761276885.08954,348500,41.629150390625
1761276886.5157793,349000,41.62854766845703
